ID,Class
9240,1
209951,3
29879,2
177914,3
180406,3
173831,1
83302,3
83596,3
172928,3
98385,1
16645,1
181354,3
20706,2
48782,2
58375,1
197365,2
31538,3
91039,2
210575,3
4017,1
112715,1
102611,2
11092,1
198079,1
48168,3
16323,2
22102,1
209412,2
139708,2
69559,1
186192,2
61832,2
188373,1
189351,1
212778,1
63135,2
170725,2
98768,3
60252,2
118805,1
114297,1
123179,1
144708,2
65356,2
132818,1
117604,2
56244,3
121327,2
157502,1
66497,1
182671,1
42538,3
144310,1
114875,1
102167,2
66110,1
71080,2
194111,3
62552,2
83722,2
143525,3
113278,3
53036,1
44269,1
194326,1
10483,3
36748,2
90094,2
20291,2
43243,3
170512,3
103939,3
35327,3
76413,2
10937,1
163463,3
126067,1
47996,3
119274,1
28528,3
211059,3
65217,3
8338,2
166930,1
193826,3
193579,2
139311,1
149233,3
209493,1
54581,2
138099,2
182169,3
46942,1
55216,1
61530,3
83208,3
123682,1
210935,3
130224,2
212635,3
195624,1
80387,1
38813,2
60190,3
171031,2
90527,3
31829,2
148825,2
183631,2
207080,3
165451,1
76192,1
207872,3
210827,3
80997,3
135857,1
32386,3
19264,1
6364,1
149739,1
129116,1
55911,3
71657,2
70242,3
45686,1
17887,1
92569,2
122931,3
47806,2
19583,1
171479,2
106861,1
141667,2
71529,3
23742,2
169548,1
106456,3
171532,1
175451,1
191257,2
15970,2
97042,2
125257,1
62354,2
127554,3
5744,3
19194,3
31886,3
157442,1
15126,3
124032,1
96209,2
40256,1
185263,1
147066,2
118132,3
89155,1
80606,2
120018,2
37210,3
195995,1
41845,3
124426,3
34121,1
103560,3
83249,2
34781,2
96447,1
32058,2
64161,2
209974,1
12763,1
187087,3
63284,3
158893,1
61937,3
60699,2
174180,1
31322,3
102963,2
146388,2
54267,1
33792,1
33516,3
148166,3
37386,1
193501,1
178912,1
22799,2
133649,2
62173,3
96860,1
68100,3
188853,2
33566,2
121392,3
105842,3
76946,1
128588,2
169234,1
143597,2
97245,3
137981,3
186180,3
113200,2
77375,2
181084,3
18119,1
20426,2
102661,3
119468,2
78461,3
175375,3
149631,1
27101,3
176987,1
170014,1
193499,1
85758,1
206098,3
135220,1
1946,1
202368,1
202549,1
173333,2
91537,2
141980,2
35996,3
47241,1
187986,2
111224,2
56679,1
29944,2
62480,2
100459,3
35418,1
207007,2
41539,1
16065,1
59603,1
2501,3
190955,1
164316,1
33092,3
193037,3
172491,1
13136,2
77736,3
108105,1
119972,3
168947,2
80705,3
44523,2
186379,2
133964,2
36463,3
154118,1
35906,3
3709,3
56609,1
54995,1
35578,1
208198,1
25770,2
54622,3
135158,3
186552,1
32891,1
94420,3
125089,3
125863,3
59994,2
104009,3
193423,2
177941,2
167394,3
182410,3
132022,2
11079,2
7049,1
88640,2
200886,1
133688,3
19272,3
42963,3
70506,1
167322,3
211929,2
155018,3
73684,2
88359,2
89479,3
188280,3
10269,3
156776,3
127257,1
88422,2
98666,1
117172,3
183289,1
199078,2
107116,2
173532,3
132709,3
208907,2
44941,2
112413,3
4656,3
105717,1
60675,2
159599,3
67174,2
53778,2
29268,1
54370,2
152404,2
211963,2
154036,2
105179,1
203112,3
30563,1
177640,1
26913,3
192055,3
75630,3
50543,2
2095,1
27615,2
39353,1
183638,1
35223,2
109959,3
118093,2
92675,3
51052,2
211335,1
208852,2
50199,3
162389,1
153788,2
143906,3
110876,1
155502,1
87703,1
180960,1
130500,3
117552,3
37053,1
110279,2
61341,1
109534,1
152326,1
183704,1
28957,2
126713,3
174520,3
33488,3
10107,3
117434,1
57188,2
105766,3
161897,3
112194,1
94666,3
210819,2
68771,3
204279,1
180529,2
72132,1
45950,1
7937,2
26636,1
109937,1
146633,1
83756,1
6845,3
189840,2
59476,1
59157,2
202451,2
196472,1
9131,3
50854,3
17468,1
187881,1
104807,1
127414,2
96473,1
151674,2
57445,1
32987,3
83605,3
111951,2
169932,3
62840,2
130413,3
142782,2
206772,1
93266,1
38087,2
194164,1
127852,3
191318,2
193556,2
96403,1
21394,1
211896,1
165927,2
124812,2
59067,2
111655,3
157603,1
126280,2
14320,3
54388,1
142785,3
58039,1
153619,2
13131,3
46694,2
142609,1
74888,3
158320,1
115716,3
143947,2
28699,1
160653,1
41009,3
41962,3
174294,3
45770,1
113678,3
206470,2
182068,3
183528,2
58198,1
166329,3
120628,3
195512,1
43754,3
192243,2
145536,1
33407,1
151675,2
170137,2
37234,1
154277,1
196718,2
44551,1
63059,3
133982,1
139788,3
13322,2
156060,1
196232,2
186332,1
176616,2
126562,1
151322,3
144469,1
50997,2
38704,3
114077,3
149441,1
83455,3
165066,1
134551,3
14664,3
2179,1
127821,1
29748,3
207492,1
183308,1
127936,1
105048,2
6726,1
168390,1
1594,1
51776,2
135720,1
198017,3
207709,1
5613,3
49383,3
177410,3
181651,3
194040,1
174289,1
128246,1
153089,1
210352,2
51975,1
82403,3
182248,2
210910,2
23753,3
125701,2
19516,1
121829,1
132213,3
187700,2
196699,1
47751,3
21842,3
90255,1
153349,1
97868,3
63940,1
14802,1
656,1
111862,3
106633,3
202617,2
157573,3
115967,3
159516,1
146844,1
18590,3
37532,2
41261,1
196818,3
18418,2
165542,2
135649,1
193607,2
93936,1
136368,2
23646,3
16720,1
87902,2
204307,2
25496,3
128848,3
148990,1
135272,3
77401,1
99824,3
174476,1
91567,3
111886,3
210419,2
16221,3
176902,2
190505,3
91403,3
156231,2
27279,1
88169,2
58784,1
118269,3
41201,3
84754,1
117405,1
74959,2
65180,2
112133,1
6311,1
184185,2
196261,1
121543,2
9009,1
76314,1
172446,2
210453,2
148505,1
148964,2
59331,3
157883,1
108021,2
110972,3
159296,1
28908,3
151595,1
173934,3
166461,1
85304,3
29917,3
79012,3
154941,1
149444,1
124728,3
190148,1
16354,1
49883,1
148866,2
15823,1
120207,3
8318,1
75938,3
129113,3
46349,3
91469,2
200108,3
42528,3
40868,3
42751,1
83488,1
34554,3
162763,2
31840,2
21547,2
11226,2
178913,3
30810,3
114876,3
54106,1
198886,3
18849,2
102873,3
149781,2
11572,1
96266,2
75587,1
191315,1
38672,2
175156,3
157023,2
204005,3
3327,1
49479,1
17944,2
63183,1
54576,3
17921,3
174731,3
174443,1
128676,2
142386,1
79985,3
183537,3
122963,1
132953,2
139995,2
34841,2
41286,1
131500,3
71023,2
161434,2
63960,2
42795,2
198572,2
118016,1
88638,1
94694,1
198955,2
165993,3
127075,2
132595,1
199230,2
193874,2
165538,1
41206,3
70961,1
192691,3
105415,3
212363,2
171511,1
115277,1
194022,2
2126,2
41995,1
96950,3
1836,1
155690,2
206751,1
92572,1
88358,2
116177,2
162617,3
186556,1
57296,2
33298,2
56894,1
145904,2
42282,2
177296,1
175039,2
41727,2
156286,3
75925,2
148257,1
65921,3
109607,3
128274,2
31150,1
136990,3
90849,2
72671,1
7201,3
129483,3
173717,2
56619,2
52647,1
191050,2
81992,2
34416,3
45671,3
81383,1
30863,3
124381,2
36176,1
119557,3
36604,3
12122,2
140071,3
171243,1
53334,3
36783,2
128101,3
149568,2
131361,2
205946,3
11914,1
161009,1
29578,1
14576,1
104222,3
141982,1
167283,3
45289,3
3094,3
186587,1
51808,1
139412,2
165589,1
154655,3
23556,1
84864,1
72287,1
144723,1
167502,3
71034,1
22580,2
99191,3
207231,2
139581,3
60205,1
30422,1
201653,3
169738,3
195134,3
1566,2
168099,1
146715,1
61312,1
198228,2
61562,1
24097,2
212527,3
114374,2
203786,2
146113,3
212248,1
189786,1
118610,3
3693,1
210256,2
83740,1
53565,2
114836,3
12876,3
105646,1
139951,3
42986,3
198674,2
176750,3
96478,3
34290,3
179459,2
17504,2
96199,1
3415,3
73799,1
48356,2
45037,3
105629,3
185047,1
37084,1
197704,3
173267,2
17255,3
73703,2
46611,1
177429,3
146597,3
202684,2
136769,3
43184,2
96662,3
131392,1
114925,2
203370,1
204485,3
107890,1
28667,1
124634,2
73091,1
167531,3
15618,2
43733,1
194238,1
152661,2
137219,3
124948,1
132393,3
52138,3
92445,3
170396,3
181132,3
32928,3
13864,2
166986,2
162476,3
138065,1
107276,2
118365,2
73962,2
115789,1
211417,3
53161,2
143925,3
128671,1
176547,1
91579,1
45103,3
4509,1
107844,3
50481,3
44424,3
41652,1
198444,3
190275,3
152459,3
43708,3
202890,1
191730,3
31089,2
135250,3
125578,1
65649,3
160492,2
48719,2
199441,3
122486,1
125569,3
107029,3
23841,2
102162,2
48263,3
163798,3
189407,1
41440,3
155401,1
55086,3
24193,3
21723,1
67778,1
79068,1
13543,1
44425,3
44390,1
212098,3
150141,3
65604,3
168911,2
134646,2
195037,1
165275,2
135217,3
111550,1
100968,2
84725,3
170056,3
180676,1
202534,1
77269,2
45538,1
193011,2
184970,3
13995,1
44984,2
48919,3
307,2
116232,3
